address,label,known,description,maker_fills,taker_fills,total_fills,maker_pct,maker_volume,taker_volume,total_volume
0x6fdc687773d4ba8753ea406f4eb2a403051a953f,0x6fdc6877,False,,1179,192,1371,85.99562363238512,49549.163700000005,4227.382218,53776.545918
0x127bc69b51601504f52afff08f1868cfbcae46ac,0x127bc69b,False,,1144,208,1352,84.61538461538461,41041.943199999994,3787.560318,44829.503518
0x2a888e676a5acead348923b2289f533c2aad438a,0x2a888e67,False,,626,718,1344,46.577380952380956,78509.66047599999,9809.716276000001,88319.376752
0xbcd5732808405131e2ed481efea993ad0567cee8,0xbcd57328,False,,1149,188,1337,85.93866866118175,11125.471543,1339.8847680000003,12465.356311
0x19a15ee029467816eb96dc303d81ee4b2fe47698,0x19a15ee0,False,,1276,0,1276,100.0,13589.960843,0.0,13589.960843
0xe8bbc29a85262636f804a6ddce1c5fafb3c96fee,0xe8bbc29a,False,,983,287,1270,77.40157480314961,6748.130689,1905.332374,8653.463063
0xa7d39cc2d815f19effe33f25378bc0c53f8209b0,0xa7d39cc2,False,,928,336,1264,73.41772151898735,2107.0914949999997,332.917921,2440.009416
0xf3f1a8868dc84fdd5f625127322103a4c62d00aa,0xf3f1a886,False,,1158,100,1258,92.05087440381558,5160.160843,598.2764379999999,5758.4372809999995
0x38657069859c7359d8324fe652907529ea85fcbe,0x38657069,False,,393,838,1231,31.925264012997562,637.5367640000001,166.349202,803.885966
0x7a1f8583ebfd41c5958327ca264f7299c5821033,0x7a1f8583,False,,881,343,1224,71.97712418300654,55833.055689999994,9264.485410000001,65097.541099999995
0xa3d043b2da34f58045c6485d3f89b798b2b0ec04,0xa3d043b2,False,,1005,217,1222,82.24222585924713,23075.806376,3395.5185409999995,26471.324916999998
0xd55aa3bfaa7a85f2dc60f10c66527ffa963a5cb8,0xd55aa3bf,False,,1034,186,1220,84.75409836065573,19765.438337,2614.3520009999997,22379.790338
